Network Type,Latitude,Longitude
LTE,25.72490803,85.08124185
5G,25.6822627,85.05710965
LTE,25.46468378,85.05511576
5G,25.5508865,85.0454001
4G,25.66900232,85.22627132
5G,25.42727206,85.11962118
4G,25.57151766,85.17277776
3G,25.55563034,85.10465736
4G,25.43244853,85.20655042
5G,25.52799007,85.0678951
4G,25.51157462,85.11452842
3G,25.73616567,85.04658404
5G,25.7566764,85.18716479
3G,25.61116062,85.08373736
LTE,25.61221378,84.99491841
3G,25.67396346,85.27575598
3G,25.61025296,85.14328007
LTE,25.70399347,85.27237883
5G,25.56797537,85.11877685
5G,25.60862162,85.26154656
3G,25.59478738,85.26825744
5G,25.61709252,85.01930998
LTE,25.5346906,85.27896327
3G,25.61069721,85.02806889
4G,25.49392406,85.24372693
5G,25.5092219,85.00575484
5G,25.75668658,85.19271048
5G,25.46420714,85.25767804
LTE,25.54874554,85.30423136
4G,25.70012932,85.14958146
LTE,25.56689335,84.99937056
5G,25.52662401,85.12975342
3G,25.53345734,85.12599876
4G,25.64202552,85.24858047
4G,25.63391522,85.07817471
4G,25.64756546,85.02973826
4G,25.72621834,85.19865977
LTE,25.62133874,85.07202649
4G,25.73567482,85.12807971
3G,25.70269682,85.17734791
LTE,25.51104844,85.0363962
LTE,25.49274772,85.22230436
LTE,25.66611573,84.98104003
LTE,25.42627839,85.09690422
LTE,25.59654489,85.26149183
5G,25.54956309,85.00279702
LTE,25.54723848,85.10384719
4G,25.65153759,85.17875082
3G,25.68775981,85.05651426
3G,25.61894533,85.15007356
5G,25.4877464,85.27400877
3G,25.65983232,85.19925928
5G,25.60990947,85.2543621
3G,25.51507084,85.29666881
5G,25.70725,85.06457849
5G,25.47170446,85.17227051
3G,25.55436341,84.97945281
LTE,25.52090722,85.21217809
4G,25.61228937,85.26275405
LTE,25.66026459,85.11746612
4G,25.50921098,85.11456813
LTE,25.43961701,85.04874919
4G,25.658389,85.15367641
3G,25.52426823,85.19019132
4G,25.55444434,85.04301736
3G,25.45873884,85.15621622
LTE,25.65780799,85.09642585
3G,25.68230779,85.10151102
3G,25.58462573,85.28176337
3G,25.7401586,85.21725459
5G,25.55399702,85.07152596
3G,25.58243681,85.23688393
3G,25.72803556,85.12623529
LTE,25.72524944,85.15992947
3G,25.64521815,85.29621948
LTE,25.5437164,85.08409113
4G,25.59358577,85.18809143
3G,25.58269343,85.30253822
4G,25.54062494,84.99599213
4G,25.53498858,85.14692787
5G,25.66173458,85.23479089
5G,25.48866301,85.02149218
3G,25.72910216,85.13229795
5G,25.68213796,85.12526196
LTE,25.64994276,84.9844004
3G,25.65196862,85.23792138
5G,25.51290523,85.28676799
LTE,25.56431621,84.97296326
5G,25.71233795,85.24922939
4G,25.73701561,85.05690626
5G,25.56238633,85.09976483
4G,25.7129903,85.00696057
5G,25.5308121,85.12473469
3G,25.51990473,85.27199306
4G,25.52348576,85.27673842
LTE,25.53017866,85.1350271
5G,25.64521624,85.13755725
3G,25.58121708,84.97432886
3G,25.68732112,85.21696611
3G,25.75972094,85.15556701
LTE,25.68962435,85.05108202
LTE,25.55090956,84.9696779
3G,25.62795935,85.24239763
4G,25.6090113,85.16942205
3G,25.69487244,85.28590602
5G,25.69084324,85.06460984
4G,25.48734003,85.12508163
LTE,25.50216685,85.08982372
3G,25.7100325,85.09163283
4G,25.53984325,85.11210451
3G,25.59264192,85.072417
4G,25.66637476,85.09419779
LTE,25.64922575,85.22703063
LTE,25.46054148,85.14625798
4G,25.61992466,84.99011904
LTE,25.65793201,85.07415803
LTE,25.56213536,85.29164287
3G,25.56938433,85.01930454
4G,25.60223655,85.10055276
3G,25.4779167,85.03547753
4G,25.71874867,85.01055751
3G,25.46744024,85.0648271
5G,25.43996783,85.08806214
4G,25.71209971,85.05806953
5G,25.57157641,85.20655042
5G,25.75755344,85.06726143
3G,25.60264163,85.17698538
5G,25.426483,85.17991066
LTE,25.54841212,85.05998004
4G,25.44067031,85.09798988
3G,25.68363493,85.18635981
5G,25.70115826,85.18788342
5G,25.62681061,85.0678708
5G,25.50761831,85.21363864
5G,25.47558871,85.19889866
LTE,25.44093457,85.0988531
LTE,25.54892092,85.31033077
4G,25.64162753,85.2139969
5G,25.59968359,84.9608223
4G,25.59388788,84.98951382
5G,25.46240771,85.15199813
5G,25.51852422,85.05629623
3G,25.7534536,85.18844853
3G,25.7270776,85.04126464
5G,25.5459642,85.17254831
3G,25.49841989,84.99512861
5G,25.54891644,85.2440487
4G,25.4809519,85.01149483
3G,25.65887378,85.08617722
LTE,25.66438864,85.00130535
5G,25.6734162,85.05887975
LTE,25.61178395,84.99159281
5G,25.56784424,84.97146154
3G,25.70078161,85.25734083
3G,25.67870219,84.99192164
3G,25.72175501,85.1808218
3G,25.6895817,85.02837369
4G,25.52627634,85.08303718
4G,25.47111634,85.00811972
3G,25.70679154,85.10506125
LTE,25.63472924,85.27237002
LTE,25.62703989,85.16159711
LTE,25.61326231,84.96539329
3G,25.53096233,85.2087535
4G,25.54804675,85.27344932
5G,25.67644919,85.23627478
5G,25.46722112,85.21919628
3G,25.58217347,85.18408994
3G,25.6887948,85.19897679
LTE,25.57525902,85.21591394
3G,25.66069739,85.15602694
5G,25.68558908,85.19878748
4G,25.43776266,85.21029453
LTE,25.64396368,85.21726045
3G,25.63256656,84.99900167
LTE,25.73225743,85.15806017
3G,25.61510475,84.99406963
3G,25.69362398,85.00761622
LTE,25.46484225,85.15031871
4G,25.56455166,85.15149766
3G,25.74792152,85.1029089
LTE,25.68246977,85.08163769
3G,25.57348372,85.03203645
5G,25.53606622,85.22469848
3G,25.64313129,85.06638047
3G,25.63773711,85.02441527
4G,25.66817037,85.25790077
LTE,25.58929514,85.08262834
5G,25.55930283,85.0300977
4G,25.66644819,85.00498019
LTE,25.58063927,85.09993486
5G,25.62117142,85.04293509
4G,25.6221948,85.11457471
LTE,25.63565432,85.18120684
5G,25.59288244,85.26997967
LTE,25.57496898,85.01403425
4G,25.66752237,85.01297602
LTE,25.46760402,85.01988346
3G,25.73318751,85.23305941
4G,25.48211476,85.23485485
4G,25.63654473,85.13617158
5G,25.63800829,85.20318521
LTE,25.59813135,85.10656123
LTE,25.64324041,84.96861221
4G,25.60978803,85.03954791
4G,25.54944116,84.9832548
4G,25.52426155,84.97233405
3G,25.49181072,85.07634808
LTE,25.6908843,85.10888662
LTE,25.59890519,85.21690766
4G,25.43781794,85.05553006
LTE,25.71150709,85.11845125
3G,25.59268067,85.04616406
5G,25.69983797,85.17015585
LTE,25.62106586,85.19433319
5G,25.47843021,85.08989342
3G,25.59703635,85.07516142
5G,25.67291454,85.20717148
LTE,25.54049147,85.24660458
3G,25.64558687,85.01599863
LTE,25.48512189,84.99761574
4G,25.7253764,85.20645828
5G,25.72345004,85.01997147
3G,25.62840348,85.00738925
3G,25.64691296,85.08475148
4G,25.63959463,85.11124442
LTE,25.47890153,85.15342952
LTE,25.50785694,85.04889354
5G,25.66457449,85.18971554
3G,25.49402835,85.20669347
